# units/bar/BARCHIV.PAS
jak	how
typkomprese	compression_type
t1otevrenyarchiv	type_1_open_archive
slozek	num_folders
konec	end_
totevrenearchivy	type_open_archives
pocet	number
tsignatura	type_signature
tbarhlavicka	type_bar_header
signatura	signature
tbarsubhlavicka	type_bar_sub_header
delka	length_
dekompdelka	decompressed_length
barotevri	bar_open
barzavri	bar_close
barpocetslozek	bar_num_folders
barseek	bar_seek
bardelkaslozky	bar_folder_length
cesta	path
cislo	number_
barnacti	bar_read
barnactialok	bar_alloc_and_read
kam	where_to
odkud	from
barzapis	bar_write
barzapisdealok	bar_write_and_dealloc
barnactisoubor	bar_read_file
barzapissoubor	bar_write_file
sloz	folder
soub	file_
chyba	on_error
chyba1	on_error_1
chybazavri	on_error_close
vymaz	to_delete
hlav	header
cis	num
typ	type_
maxotevrenycharchivu	max_num_open_archives
soubor	file_path
zac	start
del	len
subhlav	sub_header
maxdelkaslozky	max_folder_length
pom	tmp
pomdelka	tmp_length
dekomprese	decompression
kompr	compr
dekomprese_lzw	decompression_lzw
dekomprese_huf	decompression_huf
komprese	compression
alokdelka	allocated_length
komprese_lzw	compression_lzw
komprese_huf	compression_huf
maxslozekarchivu	max_folders_in_archive

# units/bar/bar_huf.pas
kompdelka	compressed_length
pznak	p_char
tznak	t_znak
cetnost	frequency
znak	char_
vyska	height
levy	left
pravy	right
tcetnost	t_frequency
tposlbitu	t_sequence_of_bits
p1obraz	p_1_image
t1obraz	t_1_image
bitu	bits
bajtu	bytes
hloub	depth
tobrazy	t_images
dealokujstrom	deallocate_tree
strom	tree
dealokujobrazy	deallocate_images
obr	img
navchyba	label_error
poco	num_images
delkao	len_images
cetn	freq
nacticetnost	load_frequency
cetnost2strom	frequency2tree
puvcetn	orig_freq
hloubka	depth_
bity	bits_
delkabajtu	byte_length
cislobitu	bit_index
zapispocetbitu	write_number_of_bits
pom1znak	tmp_1_char
poci	input_index
zas	stack
zasbitu	bits_in_stack
nactihlavicku	load_header
aktbit	current_bit

# units/bar/bar_lzw.pas
VelikostBufferu	buffer_size
Nula	null_constant
MaxDelkaKroku	max_step_length
MinDelkaKroku	min_step_length
plevysyn	p_left_son
tlevysyn	t_left_son
ppravysyn	p_right_son
tpravysyn	t_right_son
PoziceVKroku	position_in_the_step
DelkaKroku	step_length
levysyn	left_son
otec	father
PravySyn	right_son
InicializujStrom	initialize_tree
VlozUkazatel	insert_pointer
NalezenRozdil	found_difference
VelmiDlouhaShoda	very_long_match
ZrusUkazatel	remove_pointer
Komprimuj	perform_compression
PosledniDelkaKroku	last_step_length
UkazatelKodu	code_pointer
Maska	mask
BufferKodu	code_buffer
DeKomprimuj	perform_decompression
Pozice	position
Vlajka	flag

# units/bar/bar_tog.pas
maxhloubkastromu	max_tree_depth

# units/bar/bardfw.pas
maxemulaci	max_num_emulations
t1emulacnislozky	t_1_emulated_folder
temulacnichslozek	t_emulated_folders
vratcislobar	return_bar_number
cisarch	bar_number

# units/gpl2/play3.asm
VypocetMatVyrazu	evaluate_mathematical_expression
RelativniGPLSkok	relative_gpl_jump
GPLUkoncitProgram	gpl_end_program
vyraz	expression
promenne	variables
puvds	original_ds
dalsi_mat_objekt	next_mathematical_object
konec_mat_vyrazu	end_of_mathematical_expression
obj_cislo	got_a_number
obj_oper	got_an_operator
obj_fce	got_a_function_call
obj_prom	got_a_variable
volejfce	function_callbacks
poststack	postfix_evaluator_stack
volejoper	operator_callbacks
fce_not	F_Not
oper_rovno	oper_equals
oper_ruzno	oper_not_equal
oper_mensi	oper_less_than
oper_vetsi	oper_greater_than
oper_mensirovno	oper_less_or_equal
oper_vetsirovno	oper_greater_or_equal
oper_krat	oper_multiply
oper_deleno	oper_divide
oper_zbytek	oper_remainder
fce_logickyoperator	function_logical_operator
oper_vysledek1	oper_constant_1
oper_vysledek0	oper_constant_0
kod	code
uchovsi	original_si
cteni_prikazu	parse_gpl_command
cteni_predlohy	read_gpl_command_declaration
ne_konec_predlohy	end_of_gpl_command_declaration
zpracuj_prikaz	handle_gpl_command
zpracuj_parametr	handle_gpl_parameter
spust_prikaz	run_the_gpl_command
volejproc	gpl_command_declarations
parametr_cislo	parameter_is_a_number

# units/system/dma.pas
dulezitost	from_dubbing_file

# units/system/graph256.pas
barva2sed	color2gray
remappal	remap_palette
zmenapalety	palette_change
initzmenapalety init_palette_change
donezmenapalety done_palette_change

# units/system/graphasm.asm
Cim	with_what
Hranice	border
delkabuf	buffer_length
floodzapis	flood_write
vyplnovani	filling
nepretekl	didnt_overflow
konecvyplne	end_of_filling
hornkon	fill_top_side
dolnkon	fill_bottom_side
levykon	fill_left_side
pravkon	fill_right_side
neuspech	didnt_succeed
koneczapisu	end_of_writing
circlekreslisymetrickebody	circle_draw_symmetric_points
nenipoklesy	y_didnt_decrease
circlevypisbod	circle_draw_point
barva	color
linevypisbod	line_draw_point
xorlinevypisbod	xorline_draw_point
delkay screen_size

# units/system/put.asm
jemaska	is_mask
fazi	num_phases
# TODO: local labels

# units/system/graph256.pas
sirka	width
sirkaP	part_width
vyskaP	part_height
ret	text_
polomer	radius
ohranici	borders
